Global frequency set at 1000000000000 ticks per second
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 25.0.0.1
gem5 compiled Dec  1 2025 18:50:16
gem5 started Dec  1 2025 21:03:36
gem5 executing on foisat01-vm.mpi-sp.org, pid 1609432
command line: ./build/X86/gem5.opt --debug-flags=AddressTrace configs/my-configs/x86-memory-tracker.py

info: Using default config
Running the simulation
 304000: global: Accessing address 0xc3e80 from processor.cores0.core.data | Command: ReadReq
 321000: global: Accessing address 0x995c4 from processor.cores0.core.data | Command: ReadReq
 326000: global: Accessing address 0xc3e90 from processor.cores0.core.data | Command: ReadReq
 340000: global: Accessing address 0x995c8 from processor.cores0.core.data | Command: ReadReq
 345000: global: Accessing address 0xc3e98 from processor.cores0.core.data | Command: ReadReq
 346000: global: Accessing address 0xc3ea0 from processor.cores0.core.data | Command: ReadReq
 363000: global: Accessing address 0x995d0 from processor.cores0.core.data | Command: ReadReq
 368000: global: Accessing address 0xc3eb0 from processor.cores0.core.data | Command: ReadReq
 382000: global: Accessing address 0x995d4 from processor.cores0.core.data | Command: ReadReq
 387000: global: Accessing address 0xc3ec0 from processor.cores0.core.data | Command: ReadReq
 401000: global: Accessing address 0x995d8 from processor.cores0.core.data | Command: ReadReq
 406000: global: Accessing address 0xc3ed0 from processor.cores0.core.data | Command: ReadReq
 420000: global: Accessing address 0x995e0 from processor.cores0.core.data | Command: ReadReq
 425000: global: Accessing address 0xc3ed8 from processor.cores0.core.data | Command: ReadReq
 427000: global: Accessing address 0xc3ee0 from processor.cores0.core.data | Command: ReadReq
 444000: global: Accessing address 0x995e4 from processor.cores0.core.data | Command: ReadReq
 449000: global: Accessing address 0xc3ee8 from processor.cores0.core.data | Command: ReadReq
 451000: global: Accessing address 0xc3ef0 from processor.cores0.core.data | Command: ReadReq
 468000: global: Accessing address 0x995e8 from processor.cores0.core.data | Command: ReadReq
 473000: global: Accessing address 0xc3ef8 from processor.cores0.core.data | Command: ReadReq
 475000: global: Accessing address 0xc3f00 from processor.cores0.core.data | Command: ReadReq
 493000: global: Accessing address 0x995ec from processor.cores0.core.data | Command: ReadReq
 498000: global: Accessing address 0xc3f08 from processor.cores0.core.data | Command: ReadReq
 500000: global: Accessing address 0xc3f10 from processor.cores0.core.data | Command: ReadReq
 518000: global: Accessing address 0x99610 from processor.cores0.core.data | Command: ReadReq
 523000: global: Accessing address 0xc3f18 from processor.cores0.core.data | Command: ReadReq
 528000: global: Accessing address 0xc3ca6 from processor.cores0.core.data | Command: WriteReq
